isHome,shotType,situation,bodyPart,goalMouthLocation,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,draw.start.x,draw.start.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,goalType,xgot,player.firstName,player.lastName,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.block.x,draw.block.y
False,miss,assisted,right-foot,left,0.071312941610813,2288015,90,4.0,5619,1,681,shot,Justin Meram,justin-meram,J. Meram,M,275,149138,9.7,41.3,0,0,66.9,18.1,41.3,9.7,33.1,0,33.1,81.9,,,,,,,,,
True,miss,assisted,left-foot,high,0.0055246567353606,2288001,80,,4771,11,629,shot,John Tolkin,john-tolkin,J. Tolkin,D,328,1015186,45.4,14.7,0,0,44.2,88.9,14.7,45.4,55.8,0,55.8,11.1,,,,,,,,,
True,goal,assisted,right-foot,low-left,0.27561265230179,2287999,78,,4670,13,730,shot,Elias Manoel,elias-manoel,E. Manoel,F,258,1066681,10.6,35.2,0,0,52.6,18.4,35.2,10.6,47.4,0,47.4,81.6,regular,0.3121,Elias Manoel,,,,,,
False,miss,assisted,right-foot,right,0.026563128456473,2287991,75,,4444,16,956,shot,Ashley Westwood,ashley-westwood,A. Westwood,M,179,49647,24.4,37.7,0,0,20.2,5.6,37.7,24.4,79.8,0,79.8,94.4,,,,,,,,,
False,block,regular,right-foot,low-centre,0.025936326012015,2287989,72,,4268,19,1132,shot,Kerwin Calderón Vargas,kerwin-calderon-vargas,K. C. Vargas,F,163,1131136,26.4,35.9,0,0,49.9,5.6,35.9,26.4,50.1,0,50.1,94.4,,,Kerwin Calderón Vargas,,17.5,41.2,0.0,41.2,17.5
False,block,regular,right-foot,low-right,0.029004463925958,2287990,71,,4257,20,1143,shot,Scott Arfield,scott-arfield,S. Arfield,M,228,17056,19.5,60.0,0,0,46.4,19.0,60.0,19.5,53.6,0,53.6,81.0,,,,,17.1,59.2,0.0,59.2,17.1
False,goal,assisted,right-foot,high-left,0.26598316431046,2287984,64,,3807,27,1593,shot,Patrick Agyemang,agyemang-patrick,P. Agyemang,F,76,1470298,6.7,41.9,0,0,52.9,25.3,41.9,6.7,47.1,0,47.1,74.7,regular,0.7542,Patrick Agyemang,,,,,,
True,post,assisted,right-foot,left,0.092030987143517,2287979,62,,3673,29,1727,shot,Luquinhas,luquinhas,Luquinhas,M,268,845787,14.4,42.1,0,0,55.3,10.8,42.1,14.4,44.7,0,44.7,89.2,,,,,,,,,
True,goal,assisted,left-foot,low-right,0.5623494386673,2287969,56,,3335,35,2065,shot,Tom Barlow,tom-barlow,T. Barlow,F,55,983727,7.1,48.2,0,0,47.8,1.9,48.2,7.1,52.2,0,52.2,98.1,regular,0.857,,,,,,,
True,miss,corner,right-foot,left,0.019009867683053,2287965,55,,3252,36,2148,shot,Kyle Duncan,kyle-duncan,K. Duncan,D,84,823435,23.4,63.1,0,0,65.5,13.9,63.1,23.4,34.5,0,34.5,86.1,,,,,14.5,50.5,0.0,50.5,14.5
False,miss,regular,right-foot,high-right,0.018473230302334,2287964,53,,3168,38,2232,shot,Ashley Westwood,ashley-westwood,A. Westwood,M,179,49647,24.9,40.9,0,0,14.1,54.2,40.9,24.9,85.9,0,85.9,45.8,,,,,,,,,
False,goal,set-piece,right-foot,low-right,0.035654835402966,2287954,49,,2914,42,2486,shot,Kerwin Calderón Vargas,kerwin-calderon-vargas,K. C. Vargas,F,163,1131136,11.2,40.5,0,0,46.8,8.2,40.5,11.2,53.2,0,53.2,91.8,regular,0.2576,Kerwin Calderón Vargas,,,,,,
False,block,assisted,left-foot,low-centre,0.029485752806067,2287960,46,,2757,45,2643,shot,Karol Świderski,karol-swiderski,K. Świderski,F,3293,576438,15.2,36.3,0,0,51.1,19.0,36.3,15.2,48.9,0,48.9,81.0,,,,,13.7,37.5,0.0,37.5,13.7
False,save,assisted,right-foot,low-centre,0.4342520236969,2287916,45,2.0,2794,1,2606,shot,Nathan Byrne,nathan-byrne,N. Byrne,D,25,147887,3.0,50.1,0,0,48.3,7.6,50.1,3.0,51.7,0,51.7,92.4,,0.9569,,,1.2,50.5,0.0,50.5,1.2
False,block,assisted,head,low-centre,0.086467191576958,2287923,45,2.0,2793,1,2607,shot,Kamil Jóźwiak,kamil-jozwiak,K. Jóźwiak,M,2806,814820,8.3,50.2,0,0,49.9,19.0,50.2,8.3,50.1,0,50.1,81.0,,,,,6.2,50.2,0.0,50.2,6.2
False,block,assisted,right-foot,low-centre,0.041325353085995,2287915,45,2.0,2787,1,2613,shot,Kerwin Calderón Vargas,kerwin-calderon-vargas,K. C. Vargas,F,163,1131136,22.0,42.5,0,0,51.0,19.0,42.5,22.0,49.0,0,49.0,81.0,,,Kerwin Calderón Vargas,,18.0,43.7,0.0,43.7,18.0
True,miss,throw-in-set-piece,left-foot,high-left,0.013226082548499,2287910,40,,2362,6,338,shot,Frankie Amaya,frankie-amaya,F. Amaya,M,136,973287,19.2,31.0,0,0,62.2,86.1,31.0,19.2,37.8,0,37.8,13.9,,,,,,,,,
True,goal,assisted,right-foot,high-right,0.06636868417263,2287907,37,,2209,9,491,shot,Elias Manoel,elias-manoel,E. Manoel,F,258,1066681,9.0,29.5,0,0,47.1,31.0,29.5,9.0,52.9,0,52.9,69.0,regular,0.5129,Elias Manoel,,,,,,
True,miss,regular,right-foot,left,0.022372480481863,2287904,37,,2162,9,538,shot,Andres Reyes,andres-reyes,A. Reyes,D,200,931708,28.3,56.2,0,0,62.0,8.3,56.2,28.3,38.0,0,38.0,91.7,,,,,,,,,
True,miss,regular,right-foot,high,0.015353715978563,2287874,31,,1858,15,842,shot,Elias Manoel,elias-manoel,E. Manoel,F,258,1066681,27.8,89.4,0,0,54.1,84.7,89.4,27.8,45.9,0,45.9,15.3,,,Elias Manoel,,,,,,
False,miss,free-kick,left-foot,close-left,0.053608808666468,2287873,29,,1720,17,980,shot,Karol Świderski,karol-swiderski,K. Świderski,F,3293,576438,25.6,40.6,0,0,56.6,33.3,40.6,25.6,43.4,0,43.4,66.7,,,,,,,,,
True,goal,free-kick,left-foot,high-right,0.059317361563444,2287871,26,,1507,20,1193,shot,John Tolkin,john-tolkin,J. Tolkin,D,328,1015186,26.2,53.8,0,0,45.6,28.5,53.8,26.2,54.4,0,54.4,71.5,regular,0.5915,,,,,,,
False,save,assisted,right-foot,low-centre,0.12170328199863,2287857,12,,680,34,2020,shot,Enzo Copetti,enzo-copetti,E. Copetti,F,465,860045,9.2,33.7,0,0,48.2,2.5,33.7,9.2,51.8,0,51.8,97.5,,0.4496,,,2.4,45.5,0.0,45.5,2.4
True,goal,assisted,right-foot,low-left,0.13793109357357,2287855,10,,566,36,2134,shot,Elias Manoel,elias-manoel,E. Manoel,F,258,1066681,8.7,63.6,0,0,54.2,9.5,63.6,8.7,45.8,0,45.8,90.5,regular,0.5719,Elias Manoel,,,,,,
